system,vintage,month,correctedkwh,expectedkwh
0,A,1,173.529653,198.540076
0,A,2,813.983258,713.864260
0,A,3,1165.037521,1008.230599
0,A,4,1375.705546,1207.557369
0,A,5,1550.371246,1381.366075
0,A,6,1498.772410,1308.835009
0,A,7,1415.481964,1277.534834
0,A,8,1324.458807,1218.125350
0,A,9,1115.779064,1036.986114
0,A,10,1043.355435,894.977169
0,A,11,854.742614,713.403921
0,A,12,800.015217,685.135443
1,B,1,797.605996,683.860261
1,B,2,849.176321,708.867211
1,B,3,1155.557221,1001.172984
1,B,4,1295.840817,1199.104467
1,B,5,1444.086429,1371.696512
1,B,6,1354.654588,1299.673164
1,B,7,1414.347370,1268.592090
1,B,8,1311.899668,1209.598473
1,B,9,1151.801666,1029.727211
1,B,10,1027.544054,888.712329
1,B,11,854.890011,708.410094
1,B,12,803.744194,680.339495
2,C,1,767.402852,679.073239
2,C,2,840.066448,703.870161
2,C,3,1120.767545,994.115370
2,C,4,1327.140916,1190.651566
2,C,5,1483.028449,1362.026950
2,C,6,1405.917037,1290.511319
2,C,7,1380.965377,1259.649346
2,C,8,1324.285708,1201.071595
2,C,9,1153.135344,1022.468308
2,C,10,1016.964143,882.447488
2,C,11,811.987911,703.416266
2,C,12,793.978961,675.543547
3,A,2,139.194360,156.770544
3,A,3,333.308438,294.048306
3,A,4,408.715928,382.219748
3,A,5,378.718519,357.832184
3,A,6,401.627936,372.849043
3,A,7,407.548728,382.414125
3,A,8,402.683922,377.802994
3,A,9,377.682845,338.781344
3,A,10,294.214928,259.938463
3,A,11,276.741280,242.153418
3,A,12,269.638352,232.975996
4,B,1,288.298791,250.865598
4,B,2,235.333035,209.027392
4,B,3,328.463704,291.989968
4,B,4,397.079553,379.544210
4,B,5,359.661039,355.327359
4,B,6,388.821413,370.239100
4,B,7,387.691626,379.737226
4,B,8,394.436833,375.158373
4,B,9,356.007255,336.409875
4,B,10,284.578816,258.118894
4,B,11,269.160270,240.458344
4,B,12,272.831634,231.345164
5,C,1,263.602890,249.109539
5,C,2,238.414658,207.564200
5,C,3,328.078663,289.931629
5,C,4,400.155189,376.868671
5,C,5,355.054609,352.822534
5,C,6,375.066849,367.629157
5,C,7,402.844286,377.060327
5,C,8,395.147028,372.513752
5,C,9,362.771118,334.038405
5,C,10,287.421947,256.299325
5,C,11,285.776151,238.763270
5,C,12,256.651988,229.714332
6,A,2,258.776265,280.804696
6,A,3,663.230507,712.601903
6,A,4,764.773750,793.420217
6,A,5,824.319827,784.869072
6,A,6,876.304460,856.522681
6,A,7,872.657412,856.711047
6,A,8,863.210829,823.019184
6,A,9,584.013305,571.889936
6,A,10,518.042400,523.126077
6,A,11,486.108474,525.394432
6,A,12,407.389916,439.449934
7,B,1,440.048382,477.938950
7,B,2,430.735572,462.501852
7,B,3,311.917124,707.613690
7,B,4,583.049771,787.866276
7,B,5,789.067756,779.374989
7,B,6,838.600605,850.527022
7,B,7,902.586812,850.714069
7,B,8,867.108650,817.258050
7,B,9,599.052844,567.886707
7,B,10,497.008811,519.464194
7,B,11,484.909226,521.716671
7,B,12,397.141059,436.373784
8,C,1,434.003848,474.593377
8,C,2,430.419828,459.264339
8,C,3,669.860331,702.625477
8,C,4,777.040814,782.312334
8,C,5,755.975509,773.880905
8,C,6,859.155273,844.531364
8,C,7,434.275133,844.717092
8,C,8,335.862128,811.496916
8,C,9,299.422681,563.883477
8,C,10,487.049034,515.802312
8,C,11,519.423601,518.038910
8,C,12,447.308031,433.297635
9,A,2,81.419933,63.219650
9,A,3,780.779613,732.277463
9,A,4,719.526406,672.613455
9,A,5,982.785546,927.834797
9,A,6,995.520515,932.336269
9,A,7,953.786138,899.923720
9,A,8,934.660799,883.911915
9,A,9,783.455271,744.402527
9,A,10,755.571957,711.850630
9,A,11,507.000002,484.403423
9,A,12,520.038309,495.462326
10,B,1,473.716334,451.995406
10,B,2,628.461527,590.050063
10,B,3,776.548906,727.151521
10,B,4,711.027855,667.905161
10,B,5,962.895011,921.339953
10,B,6,966.429156,925.809915
10,B,7,929.035535,893.624254
10,B,8,909.653947,877.724532
10,B,9,773.497049,739.191709
10,B,10,754.033355,706.867676
10,B,11,504.203881,481.012599
